States,Years,Quarter,Districts,Transction_Count,Transaction_Amount
"Andaman and Nicobar Islands",2018,3,"north and middle andaman district",1283,4901529.518499676
"Andaman and Nicobar Islands",2018,4,"south andaman district",20136,75411840.8018554
"Andaman and Nicobar Islands",2018,2,"south andaman district",9395,23948235.51634325
"Andaman and Nicobar Islands",2018,2,"nicobars district",1120,3072436.9081196385
"Andaman and Nicobar Islands",2018,3,"north and middle andaman district",1283,4901529.518499676
"Andaman and Nicobar Islands",2018,4,"south andaman district",20136,75411840.8018554
"Andaman and Nicobar Islands",2018,4,"south andaman district",20136,75411840.8018554
"Andaman and Nicobar Islands",2018,3,"south andaman district",13511,44268112.46425246
"Andaman and Nicobar Islands",2018,4,"nicobars district",1485,7180859.354911782
"Andaman and Nicobar Islands",2018,2,"nicobars district",1120,3072436.9081196385
"Andaman and Nicobar Islands",2018,3,"north and middle andaman district",1283,4901529.518499676
"Andaman and Nicobar Islands",2018,3,"south andaman district",13511,44268112.46425246
"Andaman and Nicobar Islands",2018,4,"nicobars district",1485,7180859.354911782
"Andaman and Nicobar Islands",2018,3,"nicobars district",1471,6387829.151558982
"Andaman and Nicobar Islands",2018,3,"nicobars district",1471,6387829.151558982
"Andaman and Nicobar Islands",2018,4,"north and middle andaman district",2137,7955635.917688001
"Andaman and Nicobar Islands",2018,4,"nicobars district",1485,7180859.354911782
"Andaman and Nicobar Islands",2018,2,"north and middle andaman district",825,1317863.0834906558
"Andaman and Nicobar Islands",2018,3,"south andaman district",13511,44268112.46425246
"Andaman and Nicobar Islands",2018,3,"nicobars district",1471,6387829.151558982
"Andaman and Nicobar Islands",2019,1,"north and middle andaman district",3264,9561708.736298349
"Andaman and Nicobar Islands",2018,4,"north and middle andaman district",2137,7955635.917688001
"Andaman and Nicobar Islands",2018,4,"north and middle andaman district",2137,7955635.917688001
"Andaman and Nicobar Islands",2018,4,"south andaman district",20136,75411840.8018554
"Andaman and Nicobar Islands",2019,1,"north and middle andaman district",3264,9561708.736298349
"Andaman and Nicobar Islands",2018,4,"south andaman district",20136,75411840.8018554
"Andaman and Nicobar Islands",2018,4,"south andaman district",20136,75411840.8018554
"Andaman and Nicobar Islands",2018,4,"nicobars district",1485,7180859.354911782
"Andaman and Nicobar Islands",2018,2,"nicobars district",1120,3072436.9081196385
"Andaman and Nicobar Islands",2018,3,"nicobars district",1471,6387829.151558982
"Andaman and Nicobar Islands",2019,1,"north and middle andaman district",3264,9561708.736298349
"Andaman and Nicobar Islands",2018,4,"nicobars district",1485,7180859.354911782
"Andaman and Nicobar Islands",2018,2,"nicobars district",1120,3072436.9081196385
"Andaman and Nicobar Islands",2019,1,"south andaman district",25683,85501972.38780196
"Andaman and Nicobar Islands",2018,3,"north and middle andaman district",1283,4901529.518499676
"Andaman and Nicobar Islands",2018,2,"south andaman district",9395,23948235.51634325
"Andaman and Nicobar Islands",2018,3,"north and middle andaman district",1283,4901529.518499676
"Andaman and Nicobar Islands",2019,1,"nicobars district",1539,7236059.549389593
"Andaman and Nicobar Islands",2019,1,"north and middle andaman district",3264,9561708.736298349
"Andaman and Nicobar Islands",2018,4,"north and middle andaman district",2137,7955635.917688001
"Andaman and Nicobar Islands",2018,4,"north and middle andaman district",2137,7955635.917688001
"Andaman and Nicobar Islands",2019,1,"south andaman district",25683,85501972.38780196
"Andaman and Nicobar Islands",2019,1,"north and middle andaman district",3264,9561708.736298349
"Andaman and Nicobar Islands",2018,2,"nicobars district",1120,3072436.9081196385
"Andaman and Nicobar Islands",2018,3,"south andaman district",13511,44268112.46425246
"Andaman and Nicobar Islands",2019,2,"north and middle andaman district",3371,8612103.137888122
"Andaman and Nicobar Islands",2019,1,"south andaman district",25683,85501972.38780196
"Andaman and Nicobar Islands",2019,1,"south andaman district",25683,85501972.38780196
"Andaman and Nicobar Islands",2018,4,"south andaman district",20136,75411840.8018554
"Andaman and Nicobar Islands",2019,1,"south andaman district",25683,85501972.38780196
"Andaman and Nicobar Islands",2018,3,"north and middle andaman district",1283,4901529.518499676
"Andaman and Nicobar Islands",2018,3,"nicobars district",1471,6387829.151558982
"Andaman and Nicobar Islands",2018,4,"south andaman district",20136,75411840.8018554
"Andaman and Nicobar Islands",2019,1,"nicobars district",1539,7236059.549389593
"Andaman and Nicobar Islands",2019,1,"nicobars district",1539,7236059.549389593
"Andaman and Nicobar Islands",2018,3,"south andaman district",13511,44268112.46425246
"Andaman and Nicobar Islands",2019,1,"nicobars district",1539,7236059.549389593
"Andaman and Nicobar Islands",2018,4,"nicobars district",1485,7180859.354911782
"Andaman and Nicobar Islands",2018,4,"north and middle andaman district",2137,7955635.917688001
"Andaman and Nicobar Islands",2018,4,"nicobars district",1485,7180859.354911782
"Andaman and Nicobar Islands",2019,2,"south andaman district",28490,102530955.71341258
"Andaman and Nicobar Islands",2019,2,"north and middle andaman district",3371,8612103.137888122
"Andaman and Nicobar Islands",2018,4,"nicobars district",1485,7180859.354911782
"Andaman and Nicobar Islands",2018,3,"nicobars district",1471,6387829.151558982
"Andaman and Nicobar Islands",2019,2,"north and middle andaman district",3371,8612103.137888122
"Andaman and Nicobar Islands",2019,1,"north and middle andaman district",3264,9561708.736298349
"Andaman and Nicobar Islands",2018,4,"south andaman district",20136,75411840.8018554
"Andaman and Nicobar Islands",2019,1,"north and middle andaman district",3264,9561708.736298349
"Andaman and Nicobar Islands",2019,2,"nicobars district",1828,9111650.82436246
"Andaman and Nicobar Islands",2019,2,"south andaman district",28490,102530955.71341258
"Andaman and Nicobar Islands",2019,1,"north and middle andaman district",3264,9561708.736298349
"Andaman and Nicobar Islands",2018,4,"north and middle andaman district",2137,7955635.917688001
"Andaman and Nicobar Islands",2019,2,"south andaman district",28490,102530955.71341258
"Andaman and Nicobar Islands",2019,1,"south andaman district",25683,85501972.38780196
"Andaman and Nicobar Islands",2018,4,"nicobars district",1485,7180859.354911782
"Andaman and Nicobar Islands",2018,3,"south andaman district",13511,44268112.46425246
"Andaman and Nicobar Islands",2019,2,"nicobars district",1828,9111650.82436246
"Andaman and Nicobar Islands",2018,4,"south andaman district",20136,75411840.8018554
"Andaman and Nicobar Islands",2019,1,"south andaman district",25683,85501972.38780196
"Andaman and Nicobar Islands",2019,3,"north and middle andaman district",4049,11481466.283356793
"Andaman and Nicobar Islands",2018,3,"nicobars district",1471,6387829.151558982
"Andaman and Nicobar Islands",2018,3,"north and middle andaman district",1283,4901529.518499676
"Andaman and Nicobar Islands",2019,1,"nicobars district",1539,7236059.549389593
"Andaman and Nicobar Islands",2018,4,"north and middle andaman district",2137,7955635.917688001
"Andaman and Nicobar Islands",2018,3,"south andaman district",13511,44268112.46425246
"Andaman and Nicobar Islands",2019,2,"nicobars district",1828,9111650.82436246
"Andaman and Nicobar Islands",2019,1,"south andaman district",25683,85501972.38780196
"Andaman and Nicobar Islands",2019,1,"nicobars district",1539,7236059.549389593
"Andaman and Nicobar Islands",2019,1,"nicobars district",1539,7236059.549389593
"Andaman and Nicobar Islands",2019,2,"north and middle andaman district",3371,8612103.137888122
"Andaman and Nicobar Islands",2018,4,"south andaman district",20136,75411840.8018554
"Andaman and Nicobar Islands",2018,4,"nicobars district",1485,7180859.354911782
"Andaman and Nicobar Islands",2019,3,"north and middle andaman district",4049,11481466.283356793
"Andaman and Nicobar Islands",2019,3,"north and middle andaman district",4049,11481466.283356793
"Andaman and Nicobar Islands",2019,2,"north and middle andaman district",3371,8612103.137888122
"Andaman and Nicobar Islands",2019,2,"north and middle andaman district",3371,8612103.137888122
"Andaman and Nicobar Islands",2019,1,"nicobars district",1539,7236059.549389593
"Andaman and Nicobar Islands",2018,4,"nicobars district",1485,7180859.354911782
"Andaman and Nicobar Islands",2019,1,"north and middle andaman district",3264,9561708.736298349
"Andaman and Nicobar Islands",2019,3,"south andaman district",27421,91023888.32848613
"Andaman and Nicobar Islands",2019,3,"south andaman district",27421,91023888.32848613
"Andaman and Nicobar Islands",2019,3,"south andaman district",27421,91023888.32848613
"Andaman and Nicobar Islands",2019,2,"south andaman district",28490,102530955.71341258
"Andaman and Nicobar Islands",2019,2,"south andaman district",28490,102530955.71341258
"Andaman and Nicobar Islands",2019,2,"north and middle andaman district",3371,8612103.137888122
"Andaman and Nicobar Islands",2019,1,"south andaman district",25683,85501972.38780196
"Andaman and Nicobar Islands",2019,3,"nicobars district",2300,11566421.475451011
"Andaman and Nicobar Islands",2019,3,"nicobars district",2300,11566421.475451011
"Andaman and Nicobar Islands",2019,2,"north and middle andaman district",3371,8612103.137888122
"Andaman and Nicobar Islands",2019,2,"nicobars district",1828,9111650.82436246
"Andaman and Nicobar Islands",2019,2,"nicobars district",1828,9111650.82436246
"Andaman and Nicobar Islands",2019,3,"nicobars district",2300,11566421.475451011
"Andaman and Nicobar Islands",2019,1,"north and middle andaman district",3264,9561708.736298349
"Andaman and Nicobar Islands",2019,1,"nicobars district",1539,7236059.549389593
"Andaman and Nicobar Islands",2019,4,"north and middle andaman district",4716,13524056.784573946
"Andaman and Nicobar Islands",2019,2,"south andaman district",28490,102530955.71341258
"Andaman and Nicobar Islands",2019,2,"south andaman district",28490,102530955.71341258
"Andaman and Nicobar Islands",2019,3,"north and middle andaman district",4049,11481466.283356793
"Andaman and Nicobar Islands",2019,3,"north and middle andaman district",4049,11481466.283356793
"Andaman and Nicobar Islands",2019,2,"south andaman district",28490,102530955.71341258
"Andaman and Nicobar Islands",2019,2,"north and middle andaman district",3371,8612103.137888122
"Andaman and Nicobar Islands",2019,4,"south andaman district",27843,110930312.20611623
"Andaman and Nicobar Islands",2019,2,"nicobars district",1828,9111650.82436246
"Andaman and Nicobar Islands",2019,1,"south andaman district",25683,85501972.38780196
"Andaman and Nicobar Islands",2019,3,"south andaman district",27421,91023888.32848613
"Andaman and Nicobar Islands",2019,4,"north and middle andaman district",4716,13524056.784573946
"Andaman and Nicobar Islands",2019,1,"north and middle andaman district",3264,9561708.736298349
"Andaman and Nicobar Islands",2019,4,"north and middle andaman district",4716,13524056.784573946
"Andaman and Nicobar Islands",2019,4,"nicobars district",2600,12384161.52668771
"Andaman and Nicobar Islands",2019,3,"north and middle andaman district",4049,11481466.283356793
"Andaman and Nicobar Islands",2019,3,"nicobars district",2300,11566421.475451011
"Andaman and Nicobar Islands",2019,2,"nicobars district",1828,9111650.82436246
"Andaman and Nicobar Islands",2019,4,"south andaman district",27843,110930312.20611623
"Andaman and Nicobar Islands",2019,1,"south andaman district",25683,85501972.38780196
"Andaman and Nicobar Islands",2019,2,"south andaman district",28490,102530955.71341258
"Andaman and Nicobar Islands",2020,1,"north and middle andaman district",5674,14697371.617857102
"Andaman and Nicobar Islands",2019,3,"south andaman district",27421,91023888.32848613
"Andaman and Nicobar Islands",2019,3,"north and middle andaman district",4049,11481466.283356793
"Andaman and Nicobar Islands",2018,3,"nicobars district",1471,6387829.151558982
"Andaman and Nicobar Islands",2019,4,"nicobars district",2600,12384161.52668771
"Andaman and Nicobar Islands",2019,1,"nicobars district",1539,7236059.549389593
"Andaman and Nicobar Islands",2019,2,"nicobars district",1828,9111650.82436246
"Andaman and Nicobar Islands",2020,1,"south andaman district",32713,134679396.90582755
"Andaman and Nicobar Islands",2019,3,"nicobars district",2300,11566421.475451011
"Andaman and Nicobar Islands",2019,4,"south andaman district",27843,110930312.20611623
"Andaman and Nicobar Islands",2019,3,"south andaman district",27421,91023888.32848613
"Andaman and Nicobar Islands",2020,1,"north and middle andaman district",5674,14697371.617857102
"Andaman and Nicobar Islands",2019,4,"north and middle andaman district",4716,13524056.784573946
"Andaman and Nicobar Islands",2019,3,"north and middle andaman district",4049,11481466.283356793
"Andaman and Nicobar Islands",2020,1,"nicobars district",2911,12099543.773590054
"Andaman and Nicobar Islands",2019,2,"north and middle andaman district",3371,8612103.137888122
"Andaman and Nicobar Islands",2019,2,"nicobars district",1828,9111650.82436246
"Andaman and Nicobar Islands",2019,3,"nicobars district",2300,11566421.475451011
"Andaman and Nicobar Islands",2020,1,"south andaman district",32713,134679396.90582755
"Andaman and Nicobar Islands",2018,4,"north and middle andaman district",2137,7955635.917688001
"Andaman and Nicobar Islands",2019,1,"nicobars district",1539,7236059.549389593
"Andaman and Nicobar Islands",2019,3,"south andaman district",27421,91023888.32848613
"Andaman and Nicobar Islands",2020,2,"north and middle andaman district",10979,22447714.061058953
"Andaman and Nicobar Islands",2019,2,"south andaman district",28490,102530955.71341258
"Andaman and Nicobar Islands",2019,3,"south andaman district",27421,91023888.32848613
"Andaman and Nicobar Islands",2019,4,"nicobars district",2600,12384161.52668771
"Andaman and Nicobar Islands",2019,4,"north and middle andaman district",4716,13524056.784573946
"Andaman and Nicobar Islands",2019,3,"north and middle andaman district",4049,11481466.283356793
"Andaman and Nicobar Islands",2019,4,"north and middle andaman district",4716,13524056.784573946
